,Rate,0.05,,0.1,,0.2,,0.5,
Iter,,Fitness,New_Fitness,Fitness,New_Fitness,Fitness,New_Fitness,Fitness,New_Fitness
210,,9.52,38.36,0.74,476.16,2.6,334.6,4.48,675.8
211,,9.52,404.94,0.74,339.46,2.6,66.78,4.48,118.9
212,,9.52,195.96,0.74,455.04,2.6,666.94,4.48,363.06
213,,9.52,468.92,0.74,332.84,2.6,462.76,4.48,50.7
214,,9.52,47.5,0.74,416.72,2.6,109.26,4.48,168.8
215,,9.52,394.18,0.74,71.56,2.6,168.26,4.48,15.22
216,,9.52,433.48,0.74,111.34,2.6,109.92,4.48,53.64
217,,9.52,102.08,0.74,532.76,2.6,13.96,4.48,373.58
218,,9.52,546.3,0.74,351.92,2.6,422.16,4.48,87.88
219,,9.52,119.8,0.74,503.6,2.6,49.34,4.48,38.58
220,,9.52,224.02,0.74,673.22,2.6,43.32,4.48,634.48
221,,9.52,404.98,0.74,232.46,2.6,27.52,4.48,362.88
222,,9.52,17.3,0.74,62.48,2.6,779.04,4.48,331.66
223,,9.52,168.3,0.74,565.6,2.6,513.38,4.48,1584.28
224,,9.52,74.48,0.74,410.64,2.6,264.62,4.48,309.9
225,,9.52,385.3,0.74,315.74,2.6,1260.2,4.48,232.72
226,,9.52,392.1,0.74,630.74,2.6,157.98,4.48,286.36
227,,9.52,6.8,0.74,161.62,2.6,270.24,4.48,1427.5
228,,6.8,35.48,0.74,281.42,2.6,758.2,4.48,868.68
229,,6.8,501.28,0.74,1016.18,2.6,209.6,4.48,362.2
230,,6.8,40.7,0.74,273.64,2.6,626.28,4.48,0.32
231,,6.8,125.28,0.74,196.22,2.6,31.08,0.32,717.7
232,,6.8,223.7,0.74,298.62,2.6,135.46,0.32,271.82
233,,6.8,112.42,0.74,213.56,2.6,287.98,0.32,266.36
234,,6.8,73.82,0.74,168.02,2.6,877.28,0.32,155.64
235,,6.8,128.02,0.74,55.2,2.6,209.64,0.32,596.08
236,,6.8,35.48,0.74,242.4,2.6,360.44,0.32,1028.74
237,,6.8,290.94,0.74,599.82,2.6,80.18,0.32,1034.34
238,,6.8,16.96,0.74,361.74,2.6,385.1,0.32,271.8
239,,6.8,35.48,0.74,417.64,2.6,513.48,0.32,388.9
240,,6.8,436.38,0.74,448.92,2.6,564.36,0.32,42.76
241,,6.8,16.96,0.74,392.3,2.6,29.06,0.32,19.7
242,,6.8,34.74,0.74,294.84,2.6,132.98,0.32,2.06
243,,6.8,118.2,0.74,360.82,2.6,356.7,0.32,393.42
244,,6.8,233.38,0.74,122.52,2.6,1152.98,0.32,172.02
245,,6.8,35.48,0.74,570.86,2.6,768.04,0.32,458.76
246,,6.8,122.68,0.74,228.52,2.6,531.4,0.32,433.26
247,,6.8,14.84,0.74,231.44,2.6,767.9,0.32,152.18
248,,6.8,325.7,0.74,223.36,2.6,246,0.32,5.36
249,,6.8,154.56,0.74,668.12,2.6,632.9,0.32,373.2
250,,6.8,195.36,0.74,617.34,2.6,307.68,0.32,1145.76
251,,6.8,315.44,0.74,550.1,2.6,717.52,0.32,46.72
252,,6.8,234.04,0.74,44.74,2.6,549,0.32,48.74
253,,6.8,135.1,0.74,178.78,2.6,26.7,0.32,541.18
254,,6.8,66.6,0.74,269.24,2.6,705.64,0.32,1167.24
255,,6.8,142.8,0.74,152.6,2.6,855.34,0.32,264.68
256,,6.8,195.36,0.74,194.08,2.6,622.44,0.32,45.48
257,,6.8,386.62,0.74,879.78,2.6,40.68,0.32,796.52
258,,6.8,18.16,0.74,59.16,2.6,419.22,0.32,585.74
259,,6.8,43.36,0.74,345.02,2.6,459.78,0.32,106.94
260,,6.8,209.5,0.74,5.18,2.6,331.18,0.32,169
261,,6.8,56.16,0.74,146.08,2.6,170.88,0.32,150.58
262,,6.8,308.76,0.74,867.24,2.6,192.34,0.32,270.78
263,,6.8,13.52,0.74,100.16,2.6,300.34,0.32,415.32
264,,6.8,531.16,0.74,357.5,2.6,73.58,0.32,239.5
265,,6.8,217.82,0.74,247.02,2.6,77.84,0.32,138.64
266,,6.8,477.14,0.74,190.74,2.6,957.24,0.32,767.1
267,,6.8,117.1,0.74,493.72,2.6,512.06,0.32,282.36
268,,6.8,124.06,0.74,673.3,2.6,389.5,0.32,824.02
269,,6.8,209.5,0.74,181.52,2.6,53.84,0.32,95.56
270,,6.8,195.36,0.74,508.4,2.6,726.3,0.32,63.8
271,,6.8,56.16,0.74,482.46,2.6,340.86,0.32,366.16
272,,6.8,369.12,0.74,45.34,2.6,68.9,0.32,405.08
273,,6.8,501.2,0.74,372.98,2.6,230.2,0.32,66.38
274,,6.8,259.98,0.74,530.58,2.6,519.8,0.32,1165.5
275,,6.8,45.88,0.74,331.94,2.6,1186.98,0.32,386.3
276,,6.8,3.2,0.74,362.36,2.6,575.32,0.32,282.68
277,,3.2,153.84,0.74,75.76,2.6,327.44,0.32,472.96
278,,3.2,226.14,0.74,560.5,2.6,625.98,0.32,364.72
279,,3.2,4.58,0.74,475.42,2.6,323.64,0.32,30.3
280,,3.2,155.14,0.74,457,2.6,57.66,0.32,722.62
281,,3.2,36.1,0.74,291.66,2.6,1210.48,0.32,1017.64
282,,3.2,29.78,0.74,334.98,2.6,257.42,0.32,658.48
283,,3.2,117.6,0.74,225.32,2.6,346.66,0.32,171.46
284,,3.2,162.8,0.74,390.6,2.6,365.62,0.32,321.84
285,,3.2,106.48,0.74,1000.92,2.6,370.4,0.32,767.82
286,,3.2,335.26,0.74,520.9,2.6,653.46,0.32,369.28
287,,3.2,337.66,0.74,433.84,2.6,500.6,0.32,356.58
288,,3.2,269.66,0.74,201.52,2.6,223.78,0.32,222.28
289,,3.2,191.66,0.74,617.26,2.6,321.28,0.32,753.72
290,,3.2,7.52,0.74,58,2.6,585.04,0.32,822.68
291,,3.2,282.28,0.74,193.9,2.6,613.08,0.32,415.98
292,,3.2,486.42,0.74,555.94,2.6,293.7,0.32,708.98
293,,3.2,345.42,0.74,95.44,2.6,16.44,0.32,13.18
294,,3.2,272.64,0.74,110,2.6,247.56,0.32,616.78
295,,3.2,194.52,0.74,11.84,2.6,1130.86,0.32,49.5
296,,3.2,99.06,0.74,19.98,2.6,283.36,0.32,458.56
297,,3.2,10.3,0.74,306.82,2.6,137.7,0.32,211.14
298,,3.2,332.24,0.74,536.08,2.6,183.98,0.32,515.74
299,,3.2,71.56,0.74,116.78,2.6,287.08,0.32,580.18
300,,3.2,125.78,0.74,300.16,2.6,718.02,0.32,168.38
301,,3.2,86.18,0.74,367.92,2.6,445.68,0.32,651.5
302,,3.2,99.06,0.74,194.74,2.6,599.74,0.32,415.74
303,,3.2,215.38,0.74,360.26,2.6,678.42,0.32,1339.2
304,,3.2,56.84,0.74,176.28,2.6,310.6,0.32,151.42
305,,3.2,209.96,0.74,37.12,2.6,128.32,0.32,1151.2
306,,3.2,36.1,0.74,237.98,2.6,162.82,0.32,340.98
307,,3.2,173.2,0.74,935.3,2.6,653.7,0.32,357.12
308,,3.2,254.12,0.74,312.1,2.6,415.34,0.32,706.18
309,,3.2,155.96,0.74,499.4,2.6,137.6,0.32,616.76
310,,3.2,155.96,0.74,670.1,2.6,319.96,0.32,946.78
311,,3.2,171.98,0.74,773.04,2.6,254.38,0.32,95.96
312,,3.2,209.96,0.74,472.76,2.6,337.88,0.32,1077.14
313,,3.2,50.2,0.74,253.3,2.6,213.28,0.32,98.82
314,,3.2,99.06,0.74,237.66,2.6,113.26,0.32,778.14
315,,3.2,70.94,0.74,399.08,2.6,462.98,0.32,1793.68
316,,3.2,221.96,0.74,473.84,2.6,182.52,0.32,99.16
317,,3.2,6.8,0.74,852.94,2.6,40.66,0.32,804.32
318,,3.2,150.4,0.74,277.86,2.6,158.46,0.32,716.72
319,,3.2,7.32,0.74,527.36,2.6,450.42,0.32,823.18
320,,3.2,7.32,0.74,521.3,2.6,17.16,0.32,24.26
321,,3.2,6.8,0.74,153.84,2.6,271.82,0.32,78.72
322,,3.2,313.32,0.74,21.88,2.6,682.92,0.32,601.56
323,,3.2,57.68,0.74,407.12,2.6,434.64,0.32,244.02
324,,3.2,224.64,0.74,453.58,2.6,104.96,0.32,919.12
325,,3.2,425.72,0.74,124.88,2.6,486.38,0.32,556.78
326,,3.2,190.94,0.74,489.9,2.6,638.34,0.32,911.5
327,,3.2,17.56,0.74,233.52,2.6,378.34,0.32,504.6
328,,3.2,173.2,0.74,504.78,2.6,476.7,0.32,200.12
329,,3.2,162.72,0.74,232.86,2.6,497.06,0.32,1203.82
330,,3.2,117.2,0.74,138.54,2.6,407.78,0.32,20.6
331,,3.2,91.6,0.74,177.28,2.6,519.28,0.32,492.78
332,,3.2,118.22,0.74,310.62,2.6,16.86,0.32,772.8
333,,3.2,13.72,0.74,682.72,2.6,565.22,0.32,328.04
334,,3.2,166.8,0.74,270.16,2.6,584.72,0.32,229.86
335,,3.2,322.58,0.74,413.82,2.6,380.7,0.32,61.98
336,,3.2,80.5,0.74,387.52,2.6,584.24,0.32,500.6
337,,3.2,75.42,0.74,722.5,2.6,65.76,0.32,866.08
338,,3.2,155.96,0.74,423.6,2.6,917.5,0.32,92.04
339,,3.2,121.5,0.74,269.38,2.6,155.84,0.32,481.18
340,,3.2,284.28,0.74,230.92,2.6,173.46,0.32,1018.62
341,,3.2,71.46,0.74,117.46,2.6,194.7,0.32,515.72
342,,3.2,73.06,0.74,493.24,2.6,72.86,0.32,172.3
343,,3.2,188.14,0.74,195.5,2.6,286.92,0.32,251.06
344,,3.2,118.22,0.74,275.9,2.6,622.12,0.32,666.9
345,,3.2,372.74,0.74,22.62,2.6,698.24,0.32,998.58
346,,3.2,128.46,0.74,428.82,2.6,205.92,0.32,38.54
347,,3.2,103.88,0.74,194.74,2.6,122.42,0.32,444.04
348,,3.2,530.7,0.74,106.04,2.6,126.1,0.32,622.86
349,,3.2,199.2,0.74,330.68,2.6,91.34,0.32,1236.34
350,,3.2,158.3,0.74,65.7,2.6,721.24,0.32,1.14
351,,3.2,22.1,0.74,439.14,2.6,734.12,0.32,418.92
352,,3.2,307.74,0.74,187.54,2.6,438.02,0.32,812.5
353,,3.2,173.48,0.74,192.1,2.6,558.66,0.32,1381.1
354,,3.2,88.3,0.74,64.02,2.6,292.42,0.32,194.38
355,,3.2,32.8,0.74,601.42,2.6,488.12,0.32,857.12
356,,3.2,209.96,0.74,138.72,2.6,411.58,0.32,96.26
357,,3.2,44,0.74,817.66,2.6,631.18,0.32,248.22
358,,3.2,117.6,0.74,535.68,2.6,261.34,0.32,456.9
359,,3.2,205.52,0.74,760.02,2.6,644.84,0.32,231.56
360,,3.2,56.88,0.74,95.96,2.6,449.1,0.32,39.42
361,,3.2,1.46,0.74,149.78,2.6,161.88,0.32,252.32
362,,1.46,87.64,0.74,614.08,2.6,120.84,0.32,34.9
363,,1.46,82.7,0.74,16.5,2.6,501.66,0.32,450.82
364,,1.46,358.22,0.74,525.28,2.6,293.74,0.32,694.82
365,,1.46,386.44,0.74,209.54,2.6,433.56,0.32,1309.1
366,,1.46,546.36,0.74,580.72,2.6,206.06,0.32,36.02
367,,1.46,258.1,0.74,689.86,2.6,352,0.32,1634.62
368,,1.46,184.22,0.74,501.46,2.6,444.24,0.32,664.28
369,,1.46,308.16,0.74,405.32,2.6,318.06,0.32,344.16
370,,1.46,312.04,0.74,363.46,2.6,59.42,0.32,400.64
371,,1.46,212.68,0.74,672.3,2.6,373.92,0.32,767.08
372,,1.46,121.38,0.74,28.28,2.6,545.34,0.32,383.94
